Artist,Album,# Items,Total Time
A$AP Ferg,Doe-Active - Single,1,3:26
A$AP Ferg,New Level (feat. Future) - Single,1,4:26
A$AP Mob,Xscape (feat. A$AP Twelvyy) - Single,1,3:44
A$AP Rocky,AT.LONG.LAST.A$AP,18,1:06:18
A$AP Rocky,L$D - Single,1,3:58
A$AP Rocky,Long.Live.A$AP (Deluxe Edition),16,1:05:05
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2) - Single,1,2:06
A$AP Rocky,M'$ - Single,1,3:39
A$AP Rocky,Multiply (feat. Juicy J) - Single,1,3:43
Above & Beyond,Sticky Fingers (feat. Alex Vargas) - Single,1,3:02
Ace Hood,I Know How It Feel (feat. Ty Dollar $ign) - Single,1,4:33
Ace Hood,We Dont (feat. Rich Homie Quan) - Single,1,4:47
Action Bronson,Actin Crazy - Single,1,3:59
Action Bronson,Blue Chips 7000,13,38:11:00
Action Bronson,Grammy - Single,1,3:03
Action Bronson,Mr. Wonderful,13,49:24:00
Action Bronson,Saaab Stories - EP,7,25:15:00
Adele,Never Gonna Leave You - Single,1,3:19
Adele,When We Were Young - Single,1,4:51
Adele,25,11,48:26:00
Afrojack,Dynamite (feat. Snoop Dogg) - Single,1,3:48
Afrojack,Forget The World (Deluxe Edition),16,1:09:10
Afrojack,SummerThing! (feat. Mike Taylor) - Single,1,3:55
Afrojack,SummerThing! (feat. Pitbull & Mike Taylor) - Single,1,3:56
Afrojack,Ten Feet Tall (David Guetta Remix) [feat. Wrabel…,1,6:09
Afrojack,Unstoppable (Extended Mix) - Single,1,5:43
Afroman,Because I Got High,13,1:10:33
Afroman,The Good Times,11,58:34:00
Aitch,AitcH2O,8,24:41:00
Aitch,Polaris,8,21:24
Artist,Album,# Items,Total Time
AJR,OK ORCHESTRA,13,45:47:00
AK-69,Oh Lord (feat. Fabolous) - EP,1,3:16
Akon,Good Girls Lie - Single,1,3:26
Akon,Hypnotized - Single,1,3:07
Akon,Want Some (feat. DJ Chose) - Single,1,3:11
Alaina Castillo,parallel universe pt. 1,7,19:30
Alaina Castillo,¡párate! - Single,1,2:33
Alan Walker,All Falls Down - Single,1,3:19
The Alchemist,This Thing Of Ours,8,20:46
Alesso,Years (feat. Matthew Koma) (Remixes) - EP,4,19:08
Alexandra Stan,Cherry Pop - Single,1,3:12
Alicia Keys,Songs In A Minor (10th Anniversary Edition) (Del…,21,1:20:41
Alien Ant Farm,Always and Forever,13,47:08:00
Alien Ant Farm,Anthology,14,55:11:00
Alien Ant Farm,The Best of Alien Ant Farm 20th Century Master…,11,38:33:00
Alien Ant Farm,truANT,12,40:43:00
Alien Ant Farm,Up In The Attic,15,57:25:00
Alison Wonderland,Awake,14,44:52:00
All Time Low,Dirty Work,16,54:57:00
All Time Low,Don't Panic,12,41:05:00
All Time Low,Future Hearts,18,1:03:27
All Time Low,Monsters (feat. Demi Lovato and blackbear) - Si…,1,2:54
All Time Low,Nothing Personal,17,58:49:00
All Time Low,Once In A Lifetime - Single,1,3:10
All Time Low,The Party Scene,13,39:44:00
All Time Low,"So Wrong, It's Right",12,40:18:00
All Time Low,The Three Words To Remember In Dealing With…,4,15:05
The All-American Rejects,The All-American Rejects,12,46:23:00
The All-American Rejects,The Blue Album,12,40:28:00
The All-American Rejects,Kids In the Street,16,1:04:23
The All-American Rejects,Move Along,14,50:19:00
The All-American Rejects,Stay (Demo) - Single,1,3:08
The All-American Rejects,Sweat - Single,2,7:29
Artist,Album,# Items,Total Time
The All-American Rejects,There's a Place - Single,1,4:28
